KOD_FASILITI,NAMA,ALAMAT,POSKOD,NEGERI,DAERAH,STATUS,SEKTOR,KATEGORI_FASILITI,JENIS_FASILITI
21-12110224,KD LAMAG,"KAMPUNG SILAM JALAN SILAM, LAHAD DATU",61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12110279,KD PULAU SAKAR,"KAMPUNG TANJUNG PARAS, LAHAD DATU",61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12110290,KD SEGAMA,"BATU 6, KAMPUNG COCOS, LAHAD DATU",61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12110292,KD SEPAGAYA,"KAMPUNG SEPAYAGA, JALAN SIALM, PETI SURAT 61167 LAHAD DATU",61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12110315,KD TANJUNG LABIAN,KAMPUNG TANJUNG LABIAN,61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12110316,KD TENGAH NIPAH,"JALAN TUNGKU, PETI SURAT 61167 LAHAT DATU",61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12110430,KD NALA,"KAMPUNG. NALA, TUNGKU, LAHAD DATU",61167,SABAH,LAHAD DATU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12120144,KD BAHAGIA,"KAMPUNG BAHAGIA, NABAWAN",89957,SABAH,NABAWAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12120266,KD PANDEWAN,"KAMPUNG PANDEWAN, JALAN SEPULOT",89957,SABAH,NABAWAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130204,KD KELATUAN,"KAMPUNG KELATUAN, PAPAR",89607,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130157,KD BENONI,KAMPUNG BENONI,89608,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130160,KD BIAU,KAMPUNG BIAU,89608,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130179,KD GADONG KIMANIS,"JALAN KIMANIS, PAPAR",89600,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130200,KD KAWANG,"KAMPUNG KAWANG, PAPAR",89608,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130270,KD PENGALAT BESAR,KAMPUNG PENGALAT BESAR,89608,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130297,KD SIMPUDU,KAMPUNG SIMPUDU,89608,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12130318,KD TIBABAR,KAMPUNG TIBABAR,89608,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK DESA
21-12140259,KD NOSOOB,"KAMPUNG NOSOOB, JALAN KABUSAK, PENAMPANG",89500,SABAH,PENAMPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12140142,KD BABAGON,"KAMPUNG BABAGON, JALAN MOYOG TAMBUNAN, BABAGON, PENAMPANG",89500,SABAH,PENAMPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12140227,KD LIMBANAK,"KAMPUNG LIMBANAK, JALAN PAPAR LAMA, LIMBANAK PENAMPANG",89500,SABAH,PENAMPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12140252,KD MOYOG,"KAMPUNG MOYOG, JALAN MOYOG, TAMBUNAN, MOYOG",89500,SABAH,PENAMPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12140303,KD SUNGOI,"KAMPUNG SUNGOI, SIMPANG JALAN TUDAN PORING, PENAMPANG",89500,SABAH,PENAMPANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12140272,KD PETAGAS,"KAMPUNG PETAGAS, JALAN PUTATAN KOTA KINABALU, PETAGAS",89500,SABAH,KOTA MARUDU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150275,KD PINGAN-PINGAN,"KAMPUNG PINGGAN-PINGGAN, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150284,KD ROSOB,"KAMPUNG ROSOB, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150156,KD BAWING,"KAMPUNG BAWING, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150238,KD MANDURIAN,"KAMPUNG MANDURIAN, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150239,KD MAPAN-MAPAN,"KAMPUNG MAPAN, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150245,KD MENGKABAU,"KAMPUNG MANGKUBAU, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12150192,KD KANIBONGAN,"KAMPUNG KANIBONGAN, PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160213,KD KINARASAN,"JALAN TAMBUNAN, KINARASAN, RANAU",89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160163,KD BONGKUD,"PETI SURAT 441, KAMPUNG BONGKUD, 89300 RANAU",89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160237,KD MALINSAU,KAMPUNG MALINSAU,89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160242,KD MATUPANG,"JALAN SANDAKAN, KAMPUNG MATUPANG, RANAU",89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160255,KD NALAPAK,"KAMPUNG NALAPAK, PETI SURAT 14",89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160258,KD NARAWANG,KAMPUNG NARAWANG,89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160274,KD PINAWANTAI,KAMPUNG PINAWANTAI,89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160283,KD RONDUGUNG,KAMPUNG RONDUGUNG,89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160310,KD TAMPIOS,KAMPUNG TAMPIOS,89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12160317,KD TEROLOBOU,"KAMPUNG TEROLOBOU, JALAN BUNDU TUHAN",89308,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170326,KD TRONGLIT,KAMPUNG TRONGLIT,90009,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170253,KD MUMIANG,KAMPUNG MUMIANG,90500,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170312,KD TANJUNG ARU,KAMPUNG TANJUNG ARU,90509,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170158,KD BERHALA DARAT,KAMPUNG BERHALA BARAT,90009,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170153,KD BATU 7,"BATU 7, JALAN LABUK",90500,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170184,KD GUM-GUM,KAMPUNG GUM-GUM,90500,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170197,KD KARAMUNTING,KAMPUNG KARAMUNTING,90500,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12170294,KD SIBUGA,KAMPUNG SIBUNGA,90500,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180145,KD BAIT,KAMPUNG BAIT,91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180164,KD BUBUL,KAMPUNG BUBUL,91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180175,KD EGANG-EGANG,KAMPUNG EGANG-EGANG,91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180185,KD HAMPALAN,KAMPUNG HAMPALAN,91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180190,KD KABONGAN,KAMPUNG KABONGAN,91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180300,KD SUNGAI BUAYA,"JALAN BUGAYA, KAMPUNG SUNGAI BUAYA",91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180305,KD TAGASAN,KAMPUNG TAGASAN,91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12180314,KD TANJUNG KAPOR,"JALAN BUGAYA, KAMPUNG TANJUNG KAPUR",91308,SABAH,SEMPORNA,BUKA,AWAM,KLINIK,KLINIK DESA
21-12190150,KD BANTING,"JALAN SAMUR, KAMPUNG BANTING",89857,SABAH,SIPITANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12190236,KD MALAMAN,"JALAN SIPITANG TENOM, KAMPUNG MALAMAN",89857,SABAH,SIPITANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12190249,KD MESAPOL,"JALAN SIPITANG, KAMPUNG PEKAN MESAPOL",89857,SABAH,SIPITANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12190267,KD PANTAI,"KAMPUNG PANTAI, JALAN SIPITANG",89857,SABAH,SIPITANG,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200181,KD GARAS,"JALAN TAMBUNAN-RANAU, SIMPANG KIRI, JALAN KAMPUNG PAHU, TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200208,KD KEROKOT,"JALAN TAMBUNAN-RANAU, SIMPANG KANAN, JALAN SK KEROKOT, TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200233,KD LOTONG,"JALAN TAMBUNAN-KENINGAU, SIMPANG KANAN, SK LOTONG TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200235,KD LUMONDOU,"JALAN TAMBUNAN-RANAU, JALAN KAMPUNG TANGABAN, TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200256,KD NAMBAYAN,"JALAN TAMBUNAN-KENINGAU, SIMPANG KIRI, JALAN KAMPUNG LUBONG TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200282,KD ROMPON,"JALAN TAMBUNAN-KENINGAU, SIMPANG KIRI, JALAN KAMPUNG ROMPON TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200321,KD TOBOH,"SIMPANG KANAN, JALAN KAMPUNG TOBOH, TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12200324,KD TONTOLOB LIWAN,"SEMPADAN JALAN TAMBUNAN-RANAU, KAMPUNG TONTOLOB LIWAN, TAMBUNAN",89657,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12210146,KD BALUNG COCOS,"JALAN TAWAU, SEMPORNA KAMPUNG BALUNG COCOS",91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12210280,KD QUOIN HILL,JALAN BUKIT QUOIN,91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12210219,KD KUALA MEROTAI,KAMPUNG IBAN,91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12210301,KD SUNGAI IMAM,"KAMPUNG SUNGAI IMAM, JALAN MEROTAI",91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12210313,KD TANJUNG BATU DARAT,"JALAN UTARA BARU, KAMPUNG TANJUNG BATU DARAT",91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK DESA
21-12020210,KD KIABAU,"JALAN TELUPID, KAMPUNG KIABAU",90108,SABAH,TELUPID,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220151,KD BARU JUMPA,"KAMPUNG BARU JUMPA, JALAN KEMABONG, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220155,KD BATU-BATU,"KAMPUNG BATU-BATU, JALAN SAGA, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220222,KD LAGUD SEBARANG,"JALAN TAMAN PERTANIAN, LAGUD SEBARANG, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220243,KD MANDALOM,"KAMPUNG MANDALUM, JALAN SAGA, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220262,KD PAAL,"KAMPUNG PAAL, JALAN KEMABONG, KEMABONG, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220264,KD PAMILAAN,"KAMPUNG PAMILAAN, JALAN TENOM KENINGAU PAMILAAN",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220288,KD SAPONG,"KAMPUNG SAPONG, JALAN KEMABONG, SAPONG, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12220330,KD ULU TOMANI,"KAMPUNG ULU TOMANI, ULU TOMANI, TENOM",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK DESA
21-12230196,KD KARAMUAK,"KAMPUNG KARAMUAK DALAM, TONGOD",90200,SABAH,TONGOD,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240169,KD BUNDUNG,KAMPUNG BUNDUNG,89200,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240277,KD PUKAK,KAMPUNG PUKAK,89200,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240149,KD BANTAYAN,KAMPUNG BANTAYAN,89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240162,KD BOLONG,"KAMPUNG BOLONG, JALAN TUARAN",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240182,KD GAYA RATAU,"JALAN TAMPARULI, KAMPUNG GAYA RATAU",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240198,KD KAULUAN,"JALAN TAMPARULI, KAMPUNG KAULUAN",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240201,KD KAYANGAT,KAMPUNG RANI TENGHILAN,89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240206,KD KELAWAT,"KAMPUNGKELAWAT, JALAN KOTA KINABALU",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240246,KD MENGKABONG,"JALAN MENGKABONG, TUARAN",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240263,KD PAHU,"KAMPUNG TOMIS LAMAR, TUARAN",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240322,KD TOGOP,KAMPUNG TOGOP,89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240325,KD TOPOKON,"KAMPUNG TOPOKON, TUARAN",89208,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12240426,KD PENIMBAWAN,"KAMPUNG PENIMBAWAN, TUARAN",89028,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK DESA
21-12010331,KKIA BEAUFORT,"PEJABAT KESIHATAN KAWASAN BEAUFORT, PETI SURAT 101",89807,SABAH,BEAUFORT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12020332,KKIA BELURAN,"KLINIK KESIHATAN IBU DAN ANAK BELURAN, PETI SURAT 117",90109,SABAH,BELURAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12030334,KKIA KENINGAU,"D/A PEJABAT KESIHATAN KAWASAN KENINGAU, PETI SURAT 94",89007,SABAH,KENINGAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12050336,KKIA KOTA BELUD,"KLINIK KESIHATAN IBU DAN ANAK, KAMPUNG. PIRASAN, JALAN BYPASS KOTA BELUD-RANAU, KOTA BELUD",89158,SABAH,KOTA BELUD,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12060343,KKIA PEKAN,"KLINIK KESIHATAN IBU DAN ANAK, JALAN KAMPUNG. AIR, BANDAR RAYA KOTA KINABALU",88300,SABAH,KOTA KINABALU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12040337,KKIA KOTA KINABATANGAN,"D/A PEJABAT KESIHATAN KAWASAN KINABATANGAN, WDT 40",90200,SABAH,KINABATANGAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12070338,KKIA KOTA MARUDU,"JALAN LOTONG, PETI SURAT 421, KOTA MARUDU",89108,SABAH,KOTA MARUDU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12080069,KKIA KUALA PENYU,D/A PEJABAT KESIHATAN DAERAH KUALA PENYU,89747,SABAH,KUALA PENYU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12090339,KKIA KUDAT,"D/A PEJABAT KESIHATAN KAWASAN KUDAT, BEG BERKUNCI 6",89059,SABAH,KUDAT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12100073,KKIA KUNAK 1,"D/A PEJABAT KESIHATAN DAERAH KUNAK, PETI SURAT 990, KUNAK",91008,SABAH,KUNAK,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12100340,KKIA KUNAK 2,"D/A PEJABAT KESIHATAN DAERAH KUNAK, PETI SURAT 6",91008,SABAH,KUNAK,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12130342,KKIA PAPAR,"D/A PEJABAT KESIHATAN DAERAH PAPAR, JALAN HOSPITAL LAMA, PETI SURAT 109",88300,SABAH,PAPAR,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12150344,KKIA PITAS,"KLINIK KESIHATAN IBU DAN ANAK, PEJABAT KESIHATAN DAERAH PITAS, PEKAN PITAS",89059,SABAH,PITAS,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12160345,KKIA RANAU,"KLINIK KESIHATAN IBU DAN ANAK, JALAN HOSPITAL RANAU, PEKAN RANAU",89200,SABAH,RANAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12170346,KKIA SANDAKAN,"KLINIK KESIHATAN IBU DAN ANAK, BANDAR SANDAKAN",90009,SABAH,SANDAKAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12190369,KKIA SIPITANG,"KLINIK KESIHATAN IBU DAN ANAK, PEKAN SIPITANG",89807,SABAH,SIPITANG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12200348,KKIA TAMBUNAN,"PEJABAT KESIHATAN DAERAH TAMBUNAN, PETI SURAT 10",89007,SABAH,TAMBUNAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12210335,KKIA KINABUTAN,"PKK TAWAU,PETI SURAT 990, JALAN DATUK CHONG THIEN VUN, SIN ON",91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12210349,KKIA TAWAU 1,"PKK TAWAU,PETI SURAT 990, JALAN DATUK CHONG THIEN VUN, SIN ON",91000,SABAH,TAWAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12220350,KKIA TENOM,"PEJABAT KESIHATAN DAERAH TENOM, PETI SURAT 97",89907,SABAH,TENOM,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-12240351,KKIA TUARAN,D/A PEJABAT KESIHATAN KAWASAN TUARAN WDT 10,89200,SABAH,TUARAN,BUKA,AWAM,KLINIK,KLINIK KESIHATAN IBU DAN ANAK
21-13010043,KK ASAJAYA,KAMPUNG ASAJAYA,94600,SARAWAK,ASAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13010077,KK JEMUKAN,KAMPUNG JEMUKAN,94600,SARAWAK,ASAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13010178,KK SADONG JAYA,KAMPUNG SADONG JAYA,94600,SARAWAK,ASAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13010192,KK SEMERA,KAMPUNGA SAMERA,94600,SARAWAK,ASAJAYA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13020194,KK SERASOT,KAMPUNG SERASOT,93250,SARAWAK,BAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13020196,KK SINGAI,"JALAN KAWAH, KAMPUNG SINGAI",93250,SARAWAK,BAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13020247,KK KROKONG,"JALAN BAU SERIKIN, KAMPUNG KROKONG, BAU",93250,SARAWAK,BAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13020257,KK SINIAWAN,JALAN SINIAWAN,94000,SARAWAK,BAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13030058,KK BELAGA,PEKAN KECIL BELAGA,96800,SARAWAK,BELAGA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13030120,KK LUSONG LAKU,KAMPUNG LUSONG LAKU,96800,SARAWAK,BELAGA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13030174,KK PUNAN BAH,KAMPUNG PUNAN BAH,96800,SARAWAK,BELAGA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13030206,KK SUNGAI ASAP,PEKAN SUNGAI ASAP,96800,SARAWAK,BELAGA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13030207,KK SUNGAI KOYAN,KAMPUNG SUNGAI KOYAN,96800,SARAWAK,BELAGA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13030230,KK UMA SAMBOP,KAMPUNG UMA SAMBOP,96900,SARAWAK,BELAGA,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13040071,KK DEBAK,"DEBAK, SARIBAS",95500,SARAWAK,BETONG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13040155,KK NANGA MUJAU,NANGA LAWIH,95700,SARAWAK,BETONG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13040162,KK NANGA TIGA,KAMPUNG NG TIGA,95700,SARAWAK,BETONG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13040199,KK SPAOH,KAMPUNG SPAOH,95600,SARAWAK,BETONG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13040226,KK TUIE,"KAMPUNG TUIE, PUSA, SARIBAS",95500,SARAWAK,BETONG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13040381,KK MID LAYAR,"KM1, JALAN ULU LAYAR",95700,SARAWAK,BETONG,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13050064,KK BINTULU,LEBUH RAYA ABANG GALAU,97000,SARAWAK,BINTULU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13050090,KK NYALAU,KAMPUNG TENGAH NYALAU,97000,SARAWAK,BINTULU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13050380,KK JEPAK,JALAN JEPAK KUALA TATAU,97000,SARAWAK,BINTULU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13060091,KK KUALA OYA,LOT 467 BLOCK 15 OYA-DALAT LAND DISTRICT,96300,SARAWAK,DALAT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13060244,KK MEDONG,LOT 66 BLOCK 168 OYA DALAT LAND DISTRICT,96300,SARAWAK,DALAT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13060156,KK NANGA BAOH,LOT 4 BLOCK 251 OYA-DALAT LAND DISTRICT,96300,SARAWAK,DALAT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13070061,KK BETANAK,LOT 5 BLOCK 5 BRUIT LAND DISTRICT,96200,SARAWAK,DARO,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13070065,KK BRUIT,LOT 38 BLOCK 4 BRUIT LAND DISTRICT,96200,SARAWAK,DARO,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13070070,KK DARO,"KLINIK KESIHATAN DARO SEMENTARA, D/A HOSPITAL DARO, JALAN ITOL",96200,SARAWAK,DARO,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13070150,KK NANGA SEMAH,LOT 37 BLOCK 8 SEMAH LAND DISTRICT,96200,SARAWAK,DARO,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13070217,KK TEKAJONG,LOT 245 BRUIT LAND DISTRICT,96200,SARAWAK,DARO,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13080078,KK JULAU,PEKAN JULAU,96600,SARAWAK,JULAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13080095,KK LASSI,KAMPUNG LASSI,96600,SARAWAK,JULAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13080134,KK NANGA ENTABAI,KAMPUNG NANGA ENTABAI,96600,SARAWAK,JULAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13080145,KK NANGA MAONG (MUJOK),KAMPUNG MAONG,96600,SARAWAK,JULAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13080158,KK NANGA ENSIRING,KAMPUNG ENSIRING,96600,SARAWAK,JULAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13080186,KK SEKALONG,KAMPUNG SEKALONG,96600,SARAWAK,JULAU,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13090121,KK MACHAN,PEKAN MACHAN,96700,SARAWAK,KANOWIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13090148,KK NANGA POI (MENALUN),KAMPUNG NANGA POI,96700,SARAWAK,KANOWIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13090159,KK NANGA JAGAU,KAMPUNG NANGA JAGAU,96700,SARAWAK,KANOWIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13090163,KK NGUNGUN,KAMPUNG NGUNGUN,96700,SARAWAK,KANOWIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13090393,KK NG TADA,"LOT. 10, SECTION 7, MAPAI LAND DISTRICT, KANOWIT",96700,SARAWAK,KANOWIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13100081,KK KAPIT,JALAN BLETEH,96800,SARAWAK,KAPIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13100132,KK NANGA BENA,"JALAN SUNGAI BENA, RUMAH PANJANG",96800,SARAWAK,KAPIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
21-13100139,KK NANGA IBAU,"KAMPUNG NANGA IBAU, SUNGAI BATANG RAJANG",96800,SARAWAK,KAPIT,BUKA,AWAM,KLINIK,KLINIK KESIHATAN
